"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur",NA,"","Jilla","District","","Bhadgaon| Khwopa|Bhaktapur Jilla"
2,157,"NPL","Nepal",1,"Central",1,"Bagmati",2,"Dhading",NA,"","Jilla","District","",""
3,157,"NPL","Nepal",1,"Central",1,"Bagmati",3,"Kathmandu",NA,"","Jilla","District","","KTM"
4,157,"NPL","Nepal",1,"Central",1,"Bagmati",4,"Kavrepalanchok",NA,"","Jilla","District","","Kavrepalanchowk, Kavreplanchok"
5,157,"NPL","Nepal",1,"Central",1,"Bagmati",5,"Lalitpur",NA,"","Jilla","District","","Patan"
6,157,"NPL","Nepal",1,"Central",1,"Bagmati",6,"Nuwakot",NA,"","Jilla","District","",""
7,157,"NPL","Nepal",1,"Central",1,"Bagmati",7,"Rasuwa",NA,"","Jilla","District","",""
8,157,"NPL","Nepal",1,"Central",1,"Bagmati",8,"Sindhupalchok",NA,"","Jilla","District","",""
9,157,"NPL","Nepal",1,"Central",2,"Janakpur",9,"Dhanusa",NA,"","Jilla","District","","Dhanusha"
10,157,"NPL","Nepal",1,"Central",2,"Janakpur",10,"Dolakha",NA,"","Jilla","District","","Dolkha"
11,157,"NPL","Nepal",1,"Central",2,"Janakpur",11,"Mahottari",NA,"","Jilla","District","","Mahotari"
12,157,"NPL","Nepal",1,"Central",2,"Janakpur",12,"Ramechhap",NA,"","Jilla","District","","Ramechap"
13,157,"NPL","Nepal",1,"Central",2,"Janakpur",13,"Sarlahi",NA,"","Jilla","District","",""
14,157,"NPL","Nepal",1,"Central",2,"Janakpur",14,"Sindhuli",NA,"","Jilla","District","",""
15,157,"NPL","Nepal",1,"Central",3,"Narayani",15,"Bara",NA,"","Jilla","District","",""
16,157,"NPL","Nepal",1,"Central",3,"Narayani",16,"Chitawan",NA,"","","","",""
17,157,"NPL","Nepal",1,"Central",3,"Narayani",17,"Makwanpur",NA,"","Jilla","District","","Makawanpur"
18,157,"NPL","Nepal",1,"Central",3,"Narayani",18,"Parsa",NA,"","Jilla","District","",""
19,157,"NPL","Nepal",1,"Central",3,"Narayani",19,"Rautahat",NA,"","Jilla","District","",""
20,157,"NPL","Nepal",2,"East",4,"Koshi",20,"Bhojpur",NA,"","Jilla","District","",""
21,157,"NPL","Nepal",2,"East",4,"Koshi",21,"Dhankuta",NA,"","Jilla","District","",""
22,157,"NPL","Nepal",2,"East",4,"Koshi",22,"Morang",NA,"","Jilla","District","",""
23,157,"NPL","Nepal",2,"East",4,"Koshi",23,"Sankhuwasabha",NA,"","Jilla","District","",""
24,157,"NPL","Nepal",2,"East",4,"Koshi",24,"Sunsari",NA,"","Jilla","District","",""
25,157,"NPL","Nepal",2,"East",4,"Koshi",25,"Terhathum",NA,"","Jilla","District","","Terathum"
26,157,"NPL","Nepal",2,"East",5,"Mechi",26,"Ilam",NA,"","Jilla","District","",""
27,157,"NPL","Nepal",2,"East",5,"Mechi",27,"Jhapa",NA,"","Jilla","District","",""
28,157,"NPL","Nepal",2,"East",5,"Mechi",28,"Panchthar",NA,"","Jilla","District","","Panchathar"
