SCHOOL,DISTRICT,CODE,NAME,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SEC,THIRD,PASS,FAIL,PASS.PERCENT
4578,BANKE,67046,A B C RESIDENTIAL HIGH SCHOOL GHARBRITOLE,50,41,51,33,41,41,35,34,0,12,19,0,31,3,91
3909,RUPANDEHI,48126,A R D MODEL ENGLISH SECONDARY SCHOOL SIDD,47,55,46,29,40,51,17,17,0,5,8,0,13,4,76
650,MORANG,9156,A1 QUALITY SCHOOL BIRATNAGAR-4,61,58,77,63,7,58,8,8,3,5,0,0,8,0,100
2708,CHITWAN,34040,AADIKABI BHANUBHAKTA MA VI CHHETRAPUR,46,58,67,39,57,46,73,73,2,44,25,0,71,2,97
2259,KATHMANDU,29458,AAKASH GANGA SECONDARY SCHOOL BALAJU,45,47,31,3,39,47,36,35,0,5,10,0,15,20,43
2157,KATHMANDU,29349,AAKRITI ENGLISH BOARDING SCHOOL SUBIDHANA,0,6,68,42,43,54,20,20,0,16,4,0,20,0,100
1992,KATHMANDU,29171,AANAND BHUMI AWASIYA MA VI MAITIDEVI,60,59,86,50,57,57,53,53,5,44,4,0,53,0,100
3722,GULMI,46076,AANANDAPUR MA VI ISMA RAJASTHAL,15,43,31,33,38,32,32,32,0,0,2,0,2,30,6
3548,NAWALPARASI,44082,AARUNGKHOLA SECONDARY SCHOOL AARUNGKHO,59,70,62,36,49,63,22,22,4,13,4,0,21,1,95
2357,KATHMANDU,29563,ABHISHEK GYAN MANDIR SINAMANGAL,55,48,63,21,4,52,6,6,0,2,0,0,2,4,33
2149,KATHMANDU,29340,ACADEMY BOARDING SCHOOL MAHARAJGUNJ,55,58,73,49,45,43,23,23,1,18,3,0,22,1,96
1562,DHADING,26008,ACHANE MA VI KHAHARE SUNDARBAZAR,32,50,46,27,48,40,82,82,0,6,50,2,58,24,71
2238,KATHMANDU,29433,ACTIVE IDEAL MODEL SCHOOL (AIMS) GONGABUN,59,59,75,37,49,47,13,13,0,9,2,0,11,2,85
3498,NAWALPARASI,44030,ADARSA MA VI JAMUNIYA SEMARI,24,40,29,25,48,46,46,46,0,2,11,1,14,32,30
3500,NAWALPARASI,44032,ADARSA MA VI KHOKHARPURA,32,45,29,27,49,39,64,64,0,7,22,1,30,34,47
3204,KASKI,41108,ADARSH ENGLISH BOARDING SCHOOL PHULBARI P,65,60,62,48,69,60,13,13,0,13,0,0,13,0,100
3532,NAWALPARASI,44065,ADARSH ENGLISH BOARDING SCHOOL SEMARI,41,50,46,31,56,50,86,86,4,31,16,0,51,34,59
2936,PARSA,37037,ADARSH ENGLISH MA VI ADARSH NAGAR BIRGUNJ,58,5,77,38,51,51,21,21,1,13,4,1,19,2,90
3363,TANAHUN,42106,ADARSH ENGLISH SCHOOL THARPU,58,59,55,4,44,47,15,15,0,7,5,0,12,3,80
3861,RUPANDEHI,48078,ADARSH VIDYA MANDIR ENGLISH BOARDING SCHO,45,52,44,27,6,47,17,17,0,4,7,0,11,6,65
5021,KANCHANPUR,77032,ADARSH VIDYA NIKETAN MA VI MAHENDRANAGAR,54,63,69,50,54,57,39,39,3,32,3,0,38,1,97
4352,DANG,58081,ADARSHA ACADEMY ENGLISH SCHOOL TULSUPUR,66,67,72,50,66,56,9,9,1,8,0,0,9,0,100
1748,BHAKTAPUR,28023,ADARSHA AZAD MA VI BHELUKHEL,44,54,64,43,43,49,78,78,0,33,33,0,66,12,85
3058,LAMJUNG,40023,ADARSHA BAL MA VI BARETAR,28,45,27,24,38,42,91,91,0,6,23,1,30,61,33
507,MORANG,9011,ADARSHA BALIKA MA VI BIRATNAGAR,35,49,33,36,50,5,45,45,0,12,10,1,23,22,51
3454,SYANGJA,43090,ADARSHA ENGLISH BOARDING SCHOOL GALYANG,34,55,42,31,54,51,49,49,3,13,14,0,30,19,61
4145,PARBAT,53055,ADARSHA ENGLISH BOARDING SCHOOL KUSHMA,61,62,81,50,61,60,31,31,4,27,0,0,31,0,100
2462,LALITPUR,32074,ADARSHA ENGLISH BOARDING SCHOOL MACHHIND,56,64,60,30,52,46,15,15,2,6,5,0,13,2,87
1763,BHAKTAPUR,28038,ADARSHA JANAPREMI ENGLISH MA VI KAUSHALTAR,59,6,66,49,52,48,36,36,3,19,12,0,34,2,94
1804,BHAKTAPUR,28080,ADARSHA JYOTI MA VI GUNDU KIBACHOK,57,6,67,39,45,48,15,15,0,10,4,0,14,1,93
2401,LALITPUR,32011,ADARSHA KANYA NIKETAN MA VI MANGALBAZAR,36,49,45,26,43,46,91,91,0,11,46,1,58,32,64
198,JHAPA,4044,ADARSHA MA VI AYABARI KAKARVITTA,22,42,20,27,38,36,112,112,0,2,17,0,19,93,17
4542,BANKE,67009,ADARSHA MA VI BAGESWORI DIGAUN KHAJURA,29,53,30,29,50,4,44,44,0,2,16,1,19,25,43
700,SUNSARI,10037,ADARSHA MA VI BAKLAURI BAZAR,19,42,21,24,51,36,96,96,0,3,14,1,18,78,19
4181,RUKUM,54025,ADARSHA MA VI BANKE PIPALGAIRA GHETMA,16,33,7,18,26,28,48,47,0,0,0,0,0,47,000
687,SUNSARI,10023,ADARSHA MA VI BARAHACHHETRA CHATARA,17,35,18,24,46,40,162,162,0,4,18,2,24,138,15
1878,KATHMANDU,29053,ADARSHA MA VI BHADRABAS,38,50,52,4,45,57,99,99,1,34,41,1,77,22,78
508,MORANG,9012,ADARSHA MA VI BIRATNAGAR,25,44,3,33,50,39,63,63,0,8,14,0,22,41,35
172,JHAPA,4018,ADARSHA MA VI BUDHABARE JAYPUR,3,42,32,36,50,40,103,103,0,2,52,8,62,41,60
554,MORANG,9058,ADARSHA MA VI DAINIYA,26,49,27,28,40,3,35,35,0,0,12,1,13,22,37
4349,DANG,58076,ADARSHA MA VI DEUPUR DEUKHURI,33,42,18,21,42,32,80,80,0,2,6,1,9,71,11
3604,PALPA,45039,ADARSHA MA VI DEURALI,21,4,24,22,38,41,39,38,0,3,7,0,10,28,26
2681,CHITWAN,34013,ADARSHA MA VI DIBYANAGAR,31,58,43,21,46,47,67,67,0,6,26,0,32,35,48
3669,GULMI,46022,ADARSHA MA VI DIGAMKOT,34,46,33,23,43,39,78,78,0,4,34,1,39,39,50
1555,DHADING,26001,ADARSHA MA VI GAJURI,33,45,41,32,41,43,83,83,0,5,36,12,53,30,64
4488,SURKHET,66011,ADARSHA MA VI GARPAN MEHELI,25,46,18,20,49,47,9,9,0,0,2,0,2,7,22
4453,DAILEKH,65015,ADARSHA MA VI GUMNEKHALI,33,47,30,25,4,4,24,22,0,0,13,2,15,7,68
91,ILAM,3001,ADARSHA MA VI ILAM,29,45,25,29,51,32,112,112,0,8,26,2,36,76,32
4383,DOLPA,61004,ADARSHA MA VI JUPHAL,27,4,25,24,31,32,27,27,0,2,4,2,8,19,30
3780,ARGHAKHANCH,47050,ADARSHA MA VI KHANCHIKOT,19,37,42,27,42,38,30,30,0,0,10,2,12,18,40
3748,ARGHAKHANCH,47016,ADARSHA MA VI KHANDAHA,35,39,30,26,38,5,96,96,0,4,42,5,51,45,53
312,JHAPA,4160,ADARSHA MA VI KOROBARI-5,22,4,18,26,43,39,26,26,0,0,2,0,2,24,8
4284,DANG,58009,ADARSHA MA VI LALMATIYA DEUKHURI,30,40,20,19,43,35,89,88,0,3,14,0,17,71,19
3392,SYANGJA,43028,ADARSHA MA VI LASARGHA,18,36,23,2,3,4,71,70,0,1,9,2,12,58,17
4430,JAJARKOT,64011,ADARSHA MA VI LUHADAH MAJKOT,2,40,13,1,22,27,23,23,0,0,1,0,1,22,4
4504,SURKHET,66028,ADARSHA MA VI MAHENDRAGUNJ LEKHAPHARSA,17,40,1,15,30,33,59,59,0,1,2,2,5,54,8
3469,NAWALPARASI,44001,ADARSHA MA VI PARASIBAZAR,28,45,22,21,42,48,39,38,0,3,4,0,7,31,18
4553,BANKE,67020,ADARSHA MA VI RANJHA,20,43,26,25,33,34,84,84,0,3,15,9,27,57,32
1340,MAHOTTARI,21030,ADARSHA MA VI RATAULI,2,37,23,18,38,38,20,20,0,1,3,0,4,16,20
3987,MYAGDI,51011,ADARSHA MA VI RIMAHISTAN,27,48,3,34,43,53,7,7,0,0,4,0,4,3,57
1729,BHAKTAPUR,28001,ADARSHA MA VI SANOTHIMI,41,54,54,45,42,45,89,89,1,27,49,0,77,12,87
406,DHANKUTA,7012,ADARSHA MA VI SAPHAIDHHAP,16,35,15,2,36,30,29,29,0,0,2,0,2,27,7
1732,BHAKTAPUR,28004,ADARSHA MA VI THIMI,49,52,57,33,48,46,130,130,1,41,57,2,101,29,78
4863,KAILALI,73092,ADARSHA NAMUNA MA VI LAMKI,29,54,46,29,40,38,54,54,0,6,22,1,29,25,54
2775,CHITWAN,34115,ADARSHA PUBLIC ENGLISH SCHOOL BAIDIK NAGAR,59,60,67,53,56,54,14,14,1,9,1,0,11,3,79
2391,LALITPUR,32001,ADARSHA SARAL MA VI NAGBAHAL,35,57,51,3,44,48,18,18,0,5,7,1,13,5,72
3294,TANAHUN,42028,ADARSHA SARASWATI MA VI NABARUNG,30,50,32,3,42,38,5,5,0,0,1,2,3,2,60
2420,LALITPUR,32031,ADARSHA SAULA YUBAK MA VI SAINBU BUNGAMATI,51,56,57,35,48,47,101,101,3,43,42,0,88,13,87
3308,TANAHUN,42042,ADARSHA SHIKSHYA MA VI BAIDIKHALTE,25,3,22,3,47,5,20,20,0,0,5,0,5,15,25
2766,CHITWAN,34104,ADARSHA VIDHYA ASHRAM BHANDARA,6,58,64,41,64,54,12,12,0,7,2,0,9,3,75
3731,GULMI,46086,ADARSHA VIDYA ASHRAM ENGLISH BOARDING SCH,61,63,7,52,66,55,17,17,3,14,0,0,17,0,100
4076,BAGLUNG,52061,ADARSHA VIDYA MANDIR BOARDING HIGH SCHOOL,53,59,58,35,5,47,43,43,1,24,11,0,36,7,84
3900,RUPANDEHI,48117,ADARSHA VIDYA MANDIR BUTWAL,29,49,35,28,40,35,35,35,0,3,10,1,14,21,40
2409,LALITPUR,32020,ADARSHA VIDYA MANDIR MA VI MANBHAWAN,6,60,83,50,53,52,187,187,44,134,8,0,186,1,99
174,JHAPA,4020,ADARSHA VIDYAMANDIR MA VI GHAILADUBBA,15,33,14,23,4,31,90,90,0,0,0,0,0,90,000
